id,text,class,cluster,answer,feedback
1,"Ошибка деплоя Docker ImagePullBackOff",DevOps,DEPLOYMENT_FAILURE,"Проверьте docker login и доступ к registry",ok
2,"В отчете НДС отрицательные остатки по партиям",Finance,VAT_REPORT_ERROR,"Пересчитайте последовательность расчета партий",ok
3,"Не начисляется зарплата в 1С ЗУП",HR,PAYROLL_FAILURE,"Проверьте настройки начисления и регистры по 70 счету",fail
4,"Ошибка в SAP FB60: Balance not zero",SAP,INVOICE_POSTING,"Проверьте счет учета и налоговую схему",ok
5,"Сервис 'Отчетность' недоступен, ошибка 503",DevOps,SERVICE_UNAVAILABLE,"Проверьте статус сервиса в мониторинге и перезапустите контейнер",ok
6,"Не печатаются документы на сетевом принтере HP",IT,PRINTER_ISSUE,"Обновите драйверы, проверьте очередь печати и сетевое подключение",fail
7,"Не формируется отчет 'Оборотно-сальдовая ведомость'",Finance,REPORT_GENERATION_ERROR,"Проверьте настройки периода, учетной политики и перепроведите закрытие месяца",ok
8,"Завис процесс 'RIPROD' в SAP, не отвечает",SAP,SYSTEM_HANG,"Выполните разблокировку пользователя через транзакцию SM12, перезапустите процесс",ok
9,"Не отправляется почта через Outlook",IT,EMAIL_ISSUE,"Проверьте настройки SMTP, наличие квоты и подключение к интернету",ok
10,"Доступ к shared папке 'Проекты' отсутствует",IT,ACCESS_ISSUE,"Запросите права доступа у руководителя проекта через ИТ-заявку",ok
11,"Ошибка при проведении документа в 1С: 'Объект заблокирован'",Finance,POSTING_ERROR,"Разблокируйте объект через монитор блокировок (Меню -> Администрирование)",ok
12,"Не запускается скрипт обработки данных в Python",DevOps,SCRIPT_ERROR,"Проверьте версию Python, наличие зависимостей и права на выполнение файла",fail
13,"Ошибка аутентификации в корпоративном портале",IT,AUTH_FAILURE,"Выполните сброс пароля через сервис самообслуживания или обратитесь в службу поддержки",ok
14,"Не отображаются кассовые смены в отчете",Finance,CASH_REGISTER_REPORT,"Снимите и закройте Z-отчет на кассе для обновления данных в базе",ok
15,"Не загружаются справочники в SAP через LSMW",SAP,DATA_LOAD_ERROR,"Проверьте формат файла-источника, права доступа и настройки поля соответствия",ok
16,"Не работает сканер штрих-кодов",IT,HARDWARE_ISSUE,"Проверьте подключение USB, переустановите драйверы и протестируйте в приложении 'Блокнот'",ok
17,"Падение производительности базы данных 1С",DevOps,PERFORMANCE_ISSUE,"Выполните реиндексацию базы данных и проверьте нагрузку на сервер",ok
18,"Не согласуется документ 'Заявка на оплату' в СЭД",IT,WORKFLOW_STUCK,"Проверьте, не в отпуске ли согласующий, и переназначьте задание",fail
19,"Ошибка 'Счет уже существует' при создании vendor в SAP",SAP,MASTER_DATA_ERROR,"Проверьте дубли в справочнике контрагентов по ИНН/названию",ok
20,"Не выгружаются данные в отчет 'Анализ продаж'",Finance,DATA_EXPORT_ERROR,"Увеличьте время ожидания выполнения запроса и проверьте права на выгрузку",ok
21,"Ошибка подключения к VPN",IT,NETWORK_ISSUE,"Проверьте настройки VPN-клиента и сертификаты",ok
22,"Не открывается файл на сетевом диске",IT,FILE_ACCESS,"Проверьте права доступа к папке и состояние сетевого диска",fail
23,"Ошибка 'Память исчерпана' в 1С",DevOps,MEMORY_ERROR,"Увеличьте объем памяти для рабочего процесса 1С",ok
24,"Не работает мышь",IT,HARDWARE_ISSUE,"Проверьте USB-подключение, попробуйте другой порт",ok
25,"Ошибка при закрытии месяца в 1С",Finance,PERIOD_CLOSING,"Проверьте проведенные документы и выполните регламентные операции",ok
26,"Не запускается SAP GUI",SAP,CLIENT_ISSUE,"Переустановите SAP GUI, проверьте версию",fail
27,"Проблема с микрофоном в Teams",IT,SOUND_ISSUE,"Проверьте настройки микрофона в системе и в Teams",ok
28,"Ошибка 'Дубликат документа' в SAP",SAP,DUPLICATE_ERROR,"Проверьте номер документа в системе",ok
29,"Не работает клавиатура",IT,HARDWARE_ISSUE,"Проверьте подключение, перезагрузите компьютер",ok
30,"Ошибка 'Нет лицензии' в AutoCAD",IT,LICENSE_ISSUE,"Проверьте статус лицензии и подключение к лицензионному серверу",ok
31,"Не отправляются смс-уведомления",DevOps,SMS_GATEWAY,"Проверьте баланс шлюза и настройки SMPP",fail
32,"Ошибка в отчете по налогу на прибыль",Finance,PROFIT_TAX,"Проверьте учетную политику и временные разницы",ok
33,"Не работает сканирование в КОИ",IT,SCANNING_ISSUE,"Проверьте драйверы сканера и настройки КОИ",ok
34,"Ошибка 'Пользователь заблокирован' в SAP",SAP,USER_LOCKED,"Разблокируйте пользователя через SU01",ok
35,"Не загружается операционная система",IT,BOOT_ERROR,"Проверьте загрузочный сектор и целостность системы",fail
36,"Проблема с веб-камерой",IT,HARDWARE_ISSUE,"Проверьте драйверы и настройки приватности",ok
37,"Ошибка репликации базы данных",DevOps,REPLICATION_ERROR,"Проверьте сетевые задержки и настройки репликации",ok
38,"Не формируется платежная ведомость",Finance,PAYMENT_REGISTER,"Проверьте реестры платежей и лимиты",ok
39,"Ошибка 'Неверный формат даты' в SAP",SAP,DATE_FORMAT,"Проверьте пользовательские настройки формата даты",ok
40,"Не работает тачпад на ноутбуке",IT,HARDWARE_ISSUE,"Обновите драйверы тачпада",fail
41,"Ошибка загрузки обновлений Windows",IT,UPDATE_ERROR,"Проверьте подключение к WSUS и права доступа",ok
42,"Падение индекса в базе данных",DevOps,INDEX_ERROR,"Перестройте индекс и проанализируйте фрагментацию",ok
43,"Не печатаются этикетки со штрих-кодами",IT,LABEL_PRINTING,"Проверьте настройки принтера и шаблон этикетки",ok
44,"Ошибка расчета амортизации в 1С",Finance,DEPRECIATION,"Проверьте методы амортизации и сроки использования",ok
45,"Не открывается транзакция SE38 в SAP",SAP,AUTHORIZATION_ERROR,"Проверьте права доступа пользователя",fail
46,"Проблема с громкостью звука",IT,SOUND_ISSUE,"Проверьте микшер громкости и настройки устройств",ok
47,"Ошибка 'Диск переполнен' на сервере",DevOps,DISK_SPACE,"Очистите временные файлы и архивные данные",ok
48,"Не формируется отчет по кассовым операциям",Finance,CASH_REPORT,"Проверьте проведенные кассовые документы",ok
49,"Ошибка импорта данных в SAP",SAP,DATA_IMPORT,"Проверьте формат файла и маппинг полей",ok
50,"Не работает Bluetooth",IT,BLUETOOTH_ISSUE,"Включите Bluetooth в настройках и перезапустите службу",fail
51,"Ошибка 'Сертификат недействителен'",IT,CERTIFICATE_ERROR,"Обновите сертификат или импортируйте корневой",ok
52,"Падение производительности веб-сервера",DevOps,WEB_PERFORMANCE,"Проанализируйте логи и оптимизируйте кэширование",ok
53,"Не проводится авансовый отчет в 1С",Finance,ADVANCE_REPORT,"Проверьте приложенные документы и лимиты",ok
54,"Ошибка 'Система перегружена' в SAP",SAP,SYSTEM_OVERLOAD,"Проанализируйте нагрузку и оптимизируйте запросы",ok
55,"Не работает ИБП",IT,UPS_ISSUE,"Проверьте подключение и состояние батареи",ok
56,"Ошибка резервного копирования",DevOps,BACKUP_ERROR,"Проверьте расписание и доступность места",fail
57,"Не закрывается смена в кассовой программе",Finance,SHIFT_CLOSING,"Проверьте Z-отчет и сверьте выручку",ok
58,"Ошибка 'Нет доступа к транзакции' в SAP",SAP,ACCESS_DENIED,"Настройте права доступа в PFCG",ok
59,"Не работает проектор в переговорной",IT,PROJECTOR_ISSUE,"Проверьте кабель HDMI и источник сигнала",ok
60,"Ошибка 'Превышен лимит памяти' в Python",DevOps,MEMORY_LIMIT,"Оптимизируйте код или увеличьте лимиты",ok
61,"Не формируется отчет по дебиторской задолженности",Finance,DEBT_REPORT,"Проверьте договоры и сроки погашения",ok
62,"Ошибка 'Дубликат поставщика' в SAP",SAP,VENDOR_DUPLICATE,"Объедините дублирующихся поставщиков",ok
63,"Не работает кард-ридер",IT,CARD_READER,"Проверьте драйверы и настройки смарт-карт",fail
64,"Ошибка 'Соединение разорвано' с БД",DevOps,DB_CONNECTION,"Проверьте сеть и настройки подключения",ok
65,"Не проводится инвентаризация в 1С",Finance,INVENTORY,"Проверьте документы оприходования и списания",ok